datetime,username,content,Sentimen
2022-06-17 09:38:30+00:00,jinnysn_luv,dia si paling fashionable dan mengerti tentang fashion enteng bgt bilang jelek wkwk mau adu hatespeech dia wkwk,2
2022-06-17 08:38:58+00:00,arginhasta,kalau didunia fashion ada ilmu menciptakan trend baru mungkin skrg kerah gini dibilang jelek tapi bisa jadi tahun depan jadi trend dan nike menjadi trendsetter,2
2022-12-30 21:20:37+00:00,ootd_modern,"kingbest ""free box"" sepatu sneakers wanita import korean fashion sepatu wanita import korea sepatu wanita hitam sneakers wanita import",1
2022-12-30 21:20:28+00:00,Rcmndation4u,temukan dan dapatkan  super big sale tw sepatu wanita import olahraga kasual fashion running shoes sneakerswanita hanya rp  di shopee sekarang juga  shopeeid,1
2022-12-30 21:20:28+00:00,Rcmndation4u,paling ga suka sama fashion baju yang telihat ketat dan berwarna terang,2
2022-12-30 21:20:28+00:00,Rcmndation4u,kata orang bisnis fashion bisnis paling nyaman nyatanya kalo ga laku malah bikin dagangan jadi ketinggalan jaman,2
2022-12-30 21:20:28+00:00,Rcmndation4u,repotnya bisnis fashion harus selalu mengikuti perkembangan jaman biar ga rugi,2
2022-12-30 21:00:03+00:00,WibiansyaAnalis,temukan rd fashion  kem tasa  giomi linen rami shirt kemeja gita rami basic shirt dengan potongan  hanya rp dapatkan segera di shopee  shopeeid,1
2022-12-30 20:44:14+00:00,SOSHIGEsq,jessica dinilai memiliki gaya fashion yang elegan sama seperti hyomin tara dan suzy miss a,1
2022-12-30 20:08:19+00:00,Jumadil62948032,ini konsepnya fashion show yang pernah trending itu jadi kostum nya warna warni,1
2022-12-30 20:04:37+00:00,07TO_,fashion isn't just about clothes it's studying about culture systems science political dynamics and soo much more kalian harusnya liat bahwa fashion sebagai ilmu multidisiplin yang bisa meluaaasss bgt cuma susah bgt jujur buat encourage mereka wkwk,2
2022-12-30 19:45:38+00:00,Deurafashion,"gamis remaja gamis wanita gamis lebaran gamis pesta gamis kerja amp setelan rok untuk ke kantor yg terbaru amp kekinian cek koleksi gamis deura amp setelan rok deura fashion yuk



deurafashion setelanrok gamisremaja",1
2022-12-30 19:33:02+00:00,ccoffee,aneh bgt youtube rewind indonesia  tanpa ngehighlight jeje bonge kurma atau the whole concept tuh udah citayam fashion week ya soalnya kan di jalanan gt dan feshun feshun tp orangorang gw tungguin mana kgk muncul sampai akhir,2
2022-12-30 19:45:38+00:00,Rcmndation4u,bisnis fashion harus selalu bersabar karena untung ga seberapa dan barang habis lama,2
2022-12-30 19:18:55+00:00,Rcmndation4u,temukan dan dapatkan import taspopo  sepatu sneaker reflektif wanita bertali korea original fashion murah hanya rp  di shopee sekarang juga  shopeeid,1
2022-12-30 19:18:53+00:00,ootd_modern,"import taspopo  sepatu sneaker reflektif wanita bertali korea original fashion murah 

  
cek harga",1
2022-12-30 19:18:47+00:00,Rcmndation4u,temukan dan dapatkan import taspopo  sepatu sneaker wanita bertali korea original luar negeri fashion murah hanya rp  di shopee sekarang juga  shopeeid,1
2022-12-30 19:18:44+00:00,ootd_modern,"import taspopo  sepatu sneaker wanita bertali korea original luar negeri fashion murah 

  
cek harga",1
2022-12-30 19:17:35+00:00,EKAChanShop,online shop terpercaya yang menyediakan fashion import japan korean style dari shanghai china hongkong dan taiwan dengan harga yang sangat terjangkau,1
2022-12-30 19:13:32+00:00,FairyStyleee,tapi sebelum itu pelajarin mix n match sama fashion trend dlo,1
2022-12-30 18:59:39+00:00,BestRecmnd4U,temukan dan dapatkan turun harga  jaket jaket jeans pria big size jaket jeans tb scrup jaket pria fashion pria original the bery hanya rp  di shopee sekarang juga  shopeeid,1
2022-12-30 18:45:22+00:00,BestRecmnd4U,temukan dan dapatkan  super sale sepatu import fashion sepatu wanita sw korean trend hanya rp  di shopee sekarang juga  shopeeid,1
2022-12-30 18:45:19+00:00,RacunRkomendasi,super sale sepatu import fashion sepatu wanita sw korean trend,1
2022-12-30 18:44:52+00:00,BestRecmnd4U,temukan dan dapatkan  super sale jilitu sw sepatu sneakers wanita import fashion korean trend ltfree kotakgt hanya rp  di shopee sekarang juga  shopeeid,1
2022-12-30 18:44:51+00:00,RacunRkomendasi,super sale jilitu sw sepatu sneakers wanita import fashion korean trend ltfree kotakgt,1
2022-12-30 18:44:42+00:00,BestRecmnd4U,temukan dan dapatkan sepatu wanita import beier shoes sepatu hak cewek platform kekinian fashion terbaru  sepatu perempuan sepatu wanita kekinian  hanya rp  di shopee sekarang juga  shopeeid,1
2022-12-30 18:44:41+00:00,RacunRkomendasi,sepatu wanita import beier shoes sepatu hak cewek platform kekinian fashion terbaru  sepatu perempuan sepatu wanita kekinian,1
2022-12-30 17:45:34+00:00,fkbowmi,bomi menyebut gaya fashionnya adalah fashion tetangga,2
2022-12-30 17:45:15+00:00,Rey_acin,gua bener² suka bat hal berbau artistic  vintage  dan suka banget sama fashion tapi gua sendiri kadang suka dicap selera milih gua jelek gimn cara nya gua bisa stylish kayak orang² kok pada pinter milih style outfit dah,2
2022-12-30 16:44:11+00:00,hz__hnd,btw rada kaget ya ada yg jual pakaian bekas dari brand shein dan harganya di atas rb  shein aja bukan barang jadul gt baru taun ini kan mana itu mah fast fashion bukan barang slow fashion mending mun dijualna rb rb lah ini mah selangit,2
2022-12-30 16:44:03+00:00,strwbrycriminal,gak bisa disebut fashion sih lebih ke outfit nasabah prioritas,2
2022-12-30 16:41:44+00:00,strwbrycriminal,f fashion nasabah prioritas orang tua dan keluarga gue ngajarin untuk selalu terlihat presentable rapi sopan dan polished mau dibilang overdressed bodo amat gue sangat nyaman berpakaian rapi dan polished,2
2022-12-30 16:24:20+00:00,orenjisunrises,akhir tahun banyak banget diskon ya allah fashion makanan minuman paling gak bisa nahan sih makanan sama minuman asli menangis,1
2022-12-30 16:14:50+00:00,langgananrg,ih kmu anak fashion ak mo mutualan boleh gak  aku otw tekstil juga taun depan,1
2022-12-30 16:02:56+00:00,oklemmetry,im all ok with that tp temen gue ada yg beli hoodie fast fashion tulisan harvard trs ngomong pake ini berat tanggung jawabnya menunjuk hoodie,1
2022-12-30 15:47:34+00:00,mimark_,orang orang mah pake kacamata kelihatan cupu chan elu malah keliatan makin ganteng gw suka elu pake kacamata apalagi yang bentuknya bulet tapi maunya kacamata fashion aja jangan kacamata mines cepet membaik penglihatannya ya kesayangan,1
2022-12-30 15:44:54+00:00,Deurafashion,"gamis remaja gamis wanita gamis lebaran gamis pesta gamis kerja amp setelan rok untuk ke kantor yg terbaru amp kekinian cek koleksi gamis deura amp setelan rok deura fashion yuk



deurafashion setelanrok gamisremaja",1
2022-12-30 15:38:29+00:00,Rcmndation4u,temukan dan dapatkan basic corduroy outer blus fashion kemeja lengan panjang longgar setengah panjang gaya korea baru hanya rp  di shopee sekarang juga  shopeeid,1
2022-12-30 15:38:27+00:00,RatjoenBelanja,"basic corduroy outer blus fashion kemeja lengan panjang longgar setengah panjang gaya korea baru 

rating  
cek promo",1
2022-12-30 15:36:16+00:00,BestRecmnd4U,temukan dan dapatkan grey jack kacamata komputer anti radiasi blueray anti uv tr ringan fashion pria wanita semi bulat frame optik best seller   hanya rp  di shopee sekarang juga  shopeeid,1
2022-12-30 15:36:14+00:00,SiPalingRacund,"grey jack kacamata komputer anti radiasi blueray anti uv tr ringan fashion pria wanita semi bulat frame optik best seller   

rating  
cek promo",1
2022-12-30 15:36:02+00:00,BestRecmnd4U,temukan dan dapatkan grey jack kacamata komputer anti radiasi blueray uv tr lembut dan ringan fashion kotak pria dan wanita kacamata optik terbaru  hanya rp  di shopee sekarang juga  shopeeid,1
2022-12-30 15:36:01+00:00,SiPalingRacund,"grey jack kacamata komputer anti radiasi blueray uv tr lembut dan ringan fashion kotak pria dan wanita kacamata optik terbaru  

rating  
cek promo",1
2022-12-30 15:32:42+00:00,jayvynly,kenapa perempuan tu suka sangat ikut aku  kau takde fashion sense ke girl kalau nak belajar cakap la,2
2022-12-30 15:27:03+00:00,BestRecmnd4U,temukan dan dapatkan smile bra fashion wanita bra tanpa kawat sport bra push up elastis bh pakaian dalam wanita  hanya rp  di shopee sekarang juga  shopeeid,1
2022-12-30 15:27:01+00:00,KranjangOren,"smile bra fashion wanita bra tanpa kawat sport bra push up elastis bh pakaian dalam wanita  

rating  
cek diskon",1
2022-12-30 15:19:37+00:00,Rcmndation4u,temukan dan dapatkan blouse korean kalila top baju atasan wanita terbaru bahan katun fashion hijab trendy hanya rp  di shopee sekarang juga  shopeeid,1
2022-12-30 15:19:35+00:00,critaharian,"blouse korean kalila top baju atasan wanita terbaru bahan katun fashion hijab trendy 

rating  
cek diskon",1
2022-12-30 15:18:46+00:00,nampursa,rewind indonesia    fashion show musical  cokimuslim nyindir pemerintah,2
2022-12-30 15:16:15+00:00,H03TTEST,itu namanya fashion model pose candid bellahadid aesthetic bluraesthetic,1
2022-12-30 15:14:54+00:00,sulistyarakhma,"personal branding memang sebuah seni bagaimana mereka punya banyak waktu memikirkan itu ya kapan waktu yg tepat mengkonsep sebuah identitas fashion untuk esok pagi 
heran in a good way",1
2022-12-30 14:51:00+00:00,BestRecmnd4U,temukan dan dapatkan scrunchie love ikat rambut gaya korea untuk wanita  ikat rambut cepol srunchie love fashion hanya rp  di shopee sekarang juga  shopeeid,1
2022-12-30 14:50:58+00:00,ArgianShirna,"scrunchie love ikat rambut gaya korea untuk wanita  ikat rambut cepol srunchie love fashion 

rating  
cek diskon",1
2022-12-30 14:36:00+00:00,beautynesia_id,label fashion paling populer di tahun  ada kejutan di ranah sepatu,1
2022-12-30 14:28:32+00:00,vanilIefatale,kalo ditanya fashion item bingung karena i dont own any of themcry tapi kalo fashion brand aku suka bottega veneta miumiu mirror palais shushu tong simone rocha viv westwood etc skrg menghayal dulu punya closet full of designer pieces nya nanti kalo udah kaya raya d,1
2022-12-30 14:27:13+00:00,ArzanYainar,"justlook sejeong sepatu docmart sneakers wanita sneakers shoes fashion korea 

rating  
cek promo",1
2022-12-30 14:19:37+00:00,ViralToday20,"funatic tas selempang wanita serut mutira import terbaru dan kekinian fashion korea fa 

rating  
cek promo",1
2022-12-30 14:19:25+00:00,ViralToday20,"tas bucket bag wanita import  tas selempang bucket mini fashion korea  tas pesta wanita terbaru import kekinian  tas mini korean style  tas corduroy wanita t 

rating  
cek promo",1
2022-12-30 14:03:09+00:00,dkranghae,fashion dk dipake wonwoo plissss mereka harus tukeran wardrobe krn sebeda itu,2
2022-12-30 13:54:28+00:00,meclaulin,hs dapet kerjaan tambahan dari temennya jadi model peraga pakaian untuk pelanggan vvip  departement store temennya kerja pelanggan vvip pertama yang harus dihadapin hs adalah cucu bungsu keluarga elit jeon ww orang yang terkenal rewel dan perfectionist masalah fashion,1
2022-12-30 13:51:52+00:00,myyoondowoon,"maaf ya chann aku kira kamu emg sengaja akhir ini pake kacamata aku kira emg fashion kamu lg suka pake kacamata tp ternyata kamu harus pake kacamata ya karena penglihatan kamu buruk
love u chan sehatt sehatt ayanggg",2
2022-12-30 13:42:04+00:00,Jimmyeurus,jawaban yang bisa diterima atas keheranan gua kenapa industri fashion dan makanan bergerak cepat dan marak salah satu faktor sii ya ini,1
2022-12-30 13:38:36+00:00,misterlobilobi,"banyak pabrik punya arab gue kerja di hikmat fashion garment baju muslim yg punya pa hikmat imigran iran dia 
temen dia pa malik ada buka pabrik sparepart di ungaran 
banyak cuy",1
2022-12-30 13:24:05+00:00,sintanr_,"jeans highwaist acid denim hits selbgram fashion wanita


jahat banget candyndwin sooyoung shout out joshua smcu palace yoona yg entertainment taetae exo sc btob belajar",1
2022-12-30 13:13:44+00:00,yogi_imbo,cek fashion korea celana kasual pria celana olahraga hitam celana kasual celana lurus loose pants pinggang elastis celana panjang polos pria celana oversize pria dengan harga rp  rp dapatkan di shopee sekarang,1
2022-12-30 13:11:34+00:00,Cliffman230,"cuma menurut gw ada beberapa sih yg masih kurang amp ga ditampilin contoh 

 citayem fashion week
 kamu nanyea 
 latto latto
 mixue mungkin yg ini wajar soalnya ga disponsorin sama pihak mereka sendiri 

but well overall ini udah keren bgt sihh di luar ekspetasi",1
2022-12-30 13:05:04+00:00,BestRecmnd4U,temukan dan dapatkan ms bdo   bando polos model lebar ala korea  korean headband  bando warna netral  bando wanita dewasa fashion perempuan  bando impor  aksesoris rambut kekinian viral hanya rp  di shopee sekarang juga  shopeeid,1
2022-06-14 03:26:55+00:00,ustadtaehyung,fashion style bts as group mau dibawa kemana si wkwkwk koboy mulu like wtf jelek jir jujur aja,2
2022-05-29 13:45:32+00:00,im_Tyf,ini setujuu bgt fypku isinya kebanyakan edukasi kpop edit klip artisseleb pengetahuan random make up fashion dann lucuan jarang bgt hal yg jelekgberguna malah bisa dibilang gadaa tpi ttp aja yg disalahin apknya mlu pdhl yg salah orang yg goblok gbisa gunain apk,2
2022-05-26 14:44:09+00:00,cahyanepratama,baju baju sekarang tuh lucu lucu modelnya tapi karena fast fashion tea jadinya bahannya jelek jelek,2
2022-05-18 07:27:14+00:00,adrian_mangaha,ini aja baru first date udh ngeluh dia fashionnya jelekudh dinilai belum sikap penting yg lainnya hanya karena fashion nya jelek pada first impression bukan berarti dia seluruhnya jelekanda setuju,2
2022-05-15 02:21:55+00:00,domanggajima,ga semua reply an gw setuju kalo itu worst fashion tp ada jg yg cuma kyak haha ini jelek bgt kek pegawai matahari atau gtw ya ini krk kue lebaran jd kek chill aja not everyone well versed in fashion like u r,2
2022-05-14 12:00:39+00:00,tokidokicircle,jadi inget ada  waktu winner pake gucci harga baju gucci yg mereka pake mahal lagi tapi jelek bgt sumpah itu bajunya buat jd kayak bapak padahal red carpet look mereka biasany ok emang fashion itu ga tergantung harga tapi tergantung gimana kalian memilih outfit yg sesuai,2
2022-05-14 09:17:46+00:00,ahnip5569,ya sekedar pendapat dan buat fun aja yg di postingan pertama baju yg dibilang tiffany jelek mnrt ane bagus kok buat panggung apakah tiffany ga ngerti fashion,2
2022-05-14 06:40:07+00:00,l__00ml,nder aku mau ikutan nangis jadinya aku pernah begini di makeupin tetangga mana pas lagi fashion show sumpah jelek banget makeupku aku gapernah upload fotonya senyeselkesel itu gpp nder next time mesti denger review orang yaa happy graduation,2
2022-05-14 06:16:17+00:00,rukawadea,sorry to say ini repnya kalo gue liat liat gak jelek jelek amat dah ini pada nganggep jelek karena warnanya terlalu ngejreng kah apa gue yang ga tau fashion tapi ya namanya juga worst costume v grupnya belum liat keseluruhan aje sih gue,2
2022-05-12 13:16:28+00:00,Eishitsuu,wibu gak atraktif flat fashion jelek cuma demen make jeans  amp kaos oblong polos mukamuka ngantuk,2
2022-05-12 06:47:47+00:00,arci52100,tanpa dimaksudkan untuk membela brandnya cuma ini opini jelek gue aja ya kalian ada yg nangkep gak sih ini brand itu satir terhadap high end fashion mereka tuh gak lagi jual produknya tp ada pesan terkait isu besar gue gak suka produknya tp bagi gue pesannya dapet,2
2022-12-30 10:49:39+00:00,bluebeetnary,"idolku pernah blg fashion tuh masalah preferensi sesuatu hal yang harmless bukan hal yang perlu dijulidin dia blg""kalau kamu blg outfitku aneh dan jelek apakah karena kamu merasa kamu bakal kelihatan jelek kalau pakai outfit yang sama denganku""",2
2022-12-25 10:53:40+00:00,nabilazwink,beli baju juga jangan asal beli murah krn biasanya kualitasnya jelek kalau kualitasnya jelek ya akan mempercepat siklus sampah garmen fashion waste makin numpuk susah dikelola tentunya berdamage,2
2022-12-20 09:02:01+00:00,Vikana_dee,jadi ingat di akun yg suka bahas make upfashion ada yg nanya klo dia ini pake jilbabterus dia pangen pake tanktop sbg outeralhasil swluruh komentar hujat diatermasuk bilang itu jelek dan maksa bangettuh cewek juga klo ditanya di akun itu juga bakal dihujat sih,2
2022-12-20 08:03:33+00:00,forthesonshine,ngeliat orang berhijab tapi bajunya ngepas di badan tuh rasanya ikut risih apalagi yg kaya gini imho salah satu trend fashion paling jelek,2
2022-12-20 07:36:17+00:00,dijalankan,mau muslim bener apa kaga tapi selera fashion lu tai jelek bgt ngentot,2
2022-12-10 22:50:11+00:00,meancrownazure,teori konspirasi barang fashion mahal itu sengaja dibikin jelek biar orang orang kayak kita ga iri akan barang orang lain meskipun harganya mahal,2
2022-12-05 13:03:18+00:00,peachyjoon_____,baru ngerti fast fashion skrg hiks emng paling bener ngethrift drpd beli baru tp jelek amp udh gitu overpriced kadang,2
2022-12-04 16:31:53+00:00,claorio,temenin dongggg fashion senseku jelek banget jir ak gak bisa milih mana yang bagus atau nawar harga,2
2022-12-04 15:35:07+00:00,KatyushaDwinova,udah jelek pake jas ungu kaya badut beneran kere nih ga ngerti fashion mending lu hapus foto ini daripada banyak yg ngujat,2
2022-12-04 13:23:59+00:00,allysamaz,aa nih kalau tanggapan dede mah yah jaring itu teh a buat fashion aja fashion kata kakak bagus kok emang dede jelek pakai jaring nangis,2
2022-12-04 09:58:28+00:00,telyufess,telyu serius nanya emg pake topi didalem hijab jelek ya dalam perspektif agama dan norma  mbaknya banyak yg judge katamya hijab bukan fashion tp fashion muslim kan ditentuin jg sama quran buat nutup aurat aku jg liatnya itu masih normal karena ga ngumbar aurat kalo cont,2
2022-11-27 15:58:27+00:00,emeyola,"harganya pun lumayan mahal kayaknya makin banyak pattern makin mahal makin ribet model makin mahal

dan itu sah sah aja 

dan jadi agak mikir ya pantes ajaaaaa si mbak itu merasa selera orang orang yang ngebash fashion dia tuh jelek banget mereka yang kampungan",2
2022-11-25 01:46:38+00:00,caspersimeong,mbak kalo emang lu pake hijab udah deh ga usah mikirin fashion duniawi pahami dulu noh konsep lu pake hijab buat apa kalo emang masih suka pake baju seksi lah ngapain situ berhijab rambutlu jelek atau merasa cantik pake hijab heran banget,2
2022-11-24 16:08:42+00:00,Anana_nasime,mungkin celine jga mau bikin perbedaan buat fashion cewek ama cowok krn khan celine ini banyak fashionnya ke cowok mungkin akan ada pengembangan inovasi kita semua mana tau ayo dukung lisa jangan buat nama lisa jadi jelek apalagi sampek menghina idol atau aktor lain,2
2022-11-24 06:37:32+00:00,24_cherrypie,"gua jga mkirnya gtu krna jaman udh smkin maju hrusnya pemkiran yg kolot"" bgni juga udh dimusnahkan mau lu secantik apapun fashion sbgus apapun kaya pun klu akhlak minus tetap aja jelek kagak ada bgus""nya",2
2022-11-23 23:58:20+00:00,moodargha,mau handphonemu bagus fashion mu branded kendaraanmu mewah asli gue kagak peduli selama pasanganmu jelek,2
2022-11-23 15:13:47+00:00,mjessc,mohon maap ini jelek bgt  ya emg cinta nya cantik seleb gak melulu fashion nya bagus kok hollywood seleb aja byk yg di kritik fashion nya kl emg beneran jelek ya termasuk dia,2
2022-11-23 11:35:01+00:00,fleuriant,tpi tergantung model bajunya jg sih kalo ketat ya jelas jelek anjir beginian emg bagusnya oversize yall dont know fashion i swear,2
2022-11-23 05:29:59+00:00,critalion,as someone who studied fashion in college there are nuances itu yang di original post jelek banget wkwk tapi counterargument orang yang dia jawab tetep jelek  itu sebenernya oke soalnya bahan luarannya beda lebih tebel,2
2022-11-23 04:00:26+00:00,gingertea345,maaf aku tadinya gak kebayang itu fashion yg gmn tp liat baju cinta laura disini aku baru ngeh oh iya emg jelek sih cintanya cantik bajunya yg jelek pdhl udh sama warna biru kemeja sama luarannya tp jelek bgt ampun,2
2022-11-23 03:02:29+00:00,sagiboy1991,menurut gue ga ada yg salah sih fashion itu ga ada indikatornya jelek atau bagus tergantung preferensi org gimana melihatnya,2
2022-11-20 15:06:45+00:00,pblcenemyy,the fashion looks good on you kalo km good looking the fashion of men fits you well klo km sangat jantan meskipun yg km pakai adlh baju yg sangat wanita klo kemayu apalagi jelek theyll say bencong lgbt menjijikkan again  lifes issues go away if youve good looks,2
2022-12-30 11:07:25+00:00,jiho0npark1,"lah kan elu duluan yg mention soal fashion grup lain iya ada center tapi ga setiap foto session mereka ditengah ""tapi kenapa ive terus yg dibahas"" berati kakak ngakuin sendiri nih kalo posisi foto ive nih sering dighibah fandom lain",2
2022-12-30 11:03:18+00:00,nesoabav,fashion modern kelakuan primitif,2
2022-12-30 10:55:21+00:00,Rcmndation4u,temukan dan dapatkan basic corduroy outer blus fashion kemeja lengan panjang longgar setengah panjang gaya korea baru hanya rp  di shopee sekarang juga  shopeeid,1
2022-12-30 10:55:20+00:00,txtdronlineshop,"basic corduroy outer blus fashion kemeja lengan panjang longgar setengah panjang gaya korea baru 

  
cek diskon",1
2022-12-30 10:49:39+00:00,bluebeetnary,"idolku pernah blg fashion tuh masalah preferensi sesuatu hal yang harmless bukan hal yang perlu dijulidin dia blg""kalau kamu blg outfitku aneh dan jelek apakah karena kamu merasa kamu bakal kelihatan jelek kalau pakai outfit yang sama denganku""",2
2022-12-30 10:45:41+00:00,WaydeeStore,buat apa mahal kalau ada yang murah dan berkualitasyuk follow waydeestore fashion kamu bakal naik kelas,1
2022-12-30 10:39:05+00:00,Rcmndation4u,temukan dan dapatkan vallina outerwear alta jaket semi parka wanita korean jacket fashion muslim korean style hanya rp  di shopee sekarang juga  shopeeid,1
2022-12-30 10:39:03+00:00,barang_diskonan,"vallina outerwear alta jaket semi parka wanita korean jacket fashion muslim korean style 

  
cek diskon",1
2022-12-30 10:32:28+00:00,Rcmndation4u,temukan dan dapatkan dts  tas fashion sling bag tas selempang wanita tas rantai hand bag hanya rp  di shopee sekarang juga  shopeeid,1
2022-12-30 10:32:05+00:00,Rcmndation4u,temukan dan dapatkan tas selempang wanita tas import c tas fashion wanita cod tas import murah hanya rp  di shopee sekarang juga  shopeeid,1
2022-12-30 10:32:02+00:00,Rcmndation4u,temukan dan dapatkan clr  alleta tas selempang wanita  tas fashion  tas sling bag kekinian hanya rp  di shopee sekarang juga  shopeeid,1
2022-12-30 10:31:59+00:00,mahmedalfatih,jika orang mnasihati tntng aurat bukan brarti dia alimdia sempurnatapi dia tlong ingatkan perintah allahbiar buta fashion jgn buta agama,2
2022-12-30 10:31:40+00:00,kdoytwin,"chonlo said ""gokss mantep bet"" sm renjun ikut citayem fashion week itu aneh bgt mnrt gue nderrrr",2
2022-12-30 10:31:32+00:00,andianfaa_,bnyk dari kta yang mendaku ultras ataupun enggan mendaku karena urusan tanggung jawabnamun nyatanya memang mengadopsi berbagai hal yang identik sprti fashionnamun disisi lain mengesampingkan mengenai cara berfikir mereka yang lahir dari berbagai latar belakang serupa di italia,2
2022-12-30 10:26:47+00:00,niovcas,saiki aku ngerti opo o bapak tambah tuwek gapati mikir fashion e de e,2
2022-12-30 10:26:29+00:00,Oktafiarissa,"gue juga orangnya biasa aja soal fashion tapi gue gak tau orang nilai gue kaya apa cuma pernah gue pake celana yg kelunturan ke tempat kerja amp meraka malah kira emang model celananya gitu and says ""kak rissa kan biasanya wah gitu jadi aku kira emang gitu model celananya""",2
2022-12-30 10:22:51+00:00,andianfaa_,"amat familiar dijumpai org org mengadopsi culture ultras hanya sebatas fashion dan mengesampingkan tentang pandangan politik mengenai sepakbola
cukture ultras yang lahir dengan berbagai gejolak tereduksi hingga hanya sebatas modis sampai saat ini",2
2022-12-30 10:13:09+00:00,FUTRIANA,ada super model designer staf pr fashion agency baru tahu ada kerjaan kek gini dan fashion photography ini tentang mereka dan mimpi mereka cerita seputar dunia fashionnya sebenarnya ga wow tapi menyenangkan sekali pertemanan mereka,2
2022-12-30 10:11:55+00:00,Noors_House,"atasan kemeja wanita fashion muslim wanita blouse tartan murah blouse corea terbaru kekinian sbr
bahan  katunbusui friendly kancing hiduplingkar dada   cmpanjang baju   cmpanjang ta
harga rp
produk  original",1
2022-12-30 10:11:12+00:00,thinker_piyush,ha ho skta lekin ye bhi pagal h bol bhi skti h aisa kuch or khud ka bol degi mera kapdo ka fashion h wo,1
2022-12-30 10:10:38+00:00,babies0304,gara nj trainee a gk jadi debutdan juga pemirsa kenapa tuh bocil kalo kebandara outfitnya selalu penuh kan rempong liatnya padahal ini bukan fashion show wkwk,2
2022-12-30 10:10:26+00:00,eizhaours,ngehe gue udah agak santuy pas dia pake kacamata ternyata buat fashion doang  niat banget bikin lemah anak orang,1
2022-12-30 10:00:05+00:00,akaauhi,jd awalnya gweh pake baju rumah krn mau ke rmh mama tp pas ngaca kayak ajg gembel bgt trs gweh ubah dkit jd bgus anjay fashion sense ak mulai berjalan,2
2022-12-30 09:59:51+00:00,haechiloml,pakein ciput sama pake fashion tape buat pengganti jarumnya klo biar gak jatoh pas disampirin sih palingan dipakein penitijarpen kali yakk,1
2022-12-30 09:58:09+00:00,calonibusultan,"hari ini aku mutusin buat berenti jualan bajufashion wanita
jadi aku jual rak etalase dll ini semua 
doain aku tetep waras yagesyaaa 

semangattt",2
2022-12-30 09:54:40+00:00,Rcmndation4u,temukan dan dapatkan premiere beaute perfume fashion neonmlml edp wanita pria unisex tahan lama  jam farfum parfum hanya rp  di shopee sekarang juga  shopeeid,1
2022-12-30 09:54:38+00:00,RcunShpeeCheck,"premiere beaute perfume fashion neonmlml edp wanita pria unisex tahan lama  jam farfum parfum 

  
cek diskon",1
2022-12-30 09:51:11+00:00,Uniqbutikid,"yakin gak mupeng dengan fashion branded terbaru dan gamis kekinian yang cantik ini bunda

stock sangat terbatas ya
yuk order sebelum kehabisan
jangan sampai menyesal

fast",1
2022-11-15 11:09:48+00:00,Bsoehebevhakanw,bahan jelek sablon gabagus harga mahal maaf untuk fashion perhitungan gw banyak dibanding sekedar sayang oshi,2
