datetime,username,content,Sentimen,clean_teks
2022-12-30 18:44:52+00:00,BestRecmnd4U,temukan dan dapatkan  super sale jilitu sw sepatu sneakers wanita import fashion korean trend ltfree kotakgt hanya rp  di shopee sekarang juga  shopeeid,1,temu dapat super sale jilitu sw sepatu sneakers wanita import fashion korean trend ltfree kotakgt rupiah shopee shopeeid 
2022-12-30 18:44:51+00:00,RacunRkomendasi,super sale jilitu sw sepatu sneakers wanita import fashion korean trend ltfree kotakgt,1,super sale jilitu sw sepatu sneakers wanita import fashion korean trend ltfree kotakgt 
2022-12-30 18:44:42+00:00,BestRecmnd4U,temukan dan dapatkan sepatu wanita import beier shoes sepatu hak cewek platform kekinian fashion terbaru  sepatu perempuan sepatu wanita kekinian  hanya rp  di shopee sekarang juga  shopeeid,1,temu dapat sepatu wanita import beier shoes sepatu hak cewek platform kini fashion baru sepatu perempuan sepatu wanita kini rupiah shopee shopeeid 
2022-12-30 18:44:41+00:00,RacunRkomendasi,sepatu wanita import beier shoes sepatu hak cewek platform kekinian fashion terbaru  sepatu perempuan sepatu wanita kekinian,1,sepatu wanita import beier shoes sepatu hak cewek platform kini fashion baru sepatu perempuan sepatu wanita kini 
2022-12-30 17:45:34+00:00,fkbowmi,bomi menyebut gaya fashionnya adalah fashion tetangga,2,bom sebut gaya fashionnya fashion tetangga 
2022-12-30 17:45:15+00:00,Rey_acin,gua bener² suka bat hal berbau artistic  vintage  dan suka banget sama fashion tapi gua sendiri kadang suka dicap selera milih gua jelek gimn cara nya gua bisa stylish kayak orang² kok pada pinter milih style outfit dah,2,bener² suka bat bau artistic vintage suka banget fashion kadang suka cap selera milih jelek gimn nya stylish orang² pintar milih style outfit 
2022-12-30 16:44:11+00:00,hz__hnd,btw rada kaget ya ada yg jual pakaian bekas dari brand shein dan harganya di atas rb  shein aja bukan barang jadul gt baru taun ini kan mana itu mah fast fashion bukan barang slow fashion mending mun dijualna rb rb lah ini mah selangit,2,omong omong rada kaget ya jual pakai bekas brand shein harga rb shein barang jaman mah fast fashion barang santai fashion mending mun dijualna rb rb mah langit 
2022-12-30 16:44:03+00:00,strwbrycriminal,gak bisa disebut fashion sih lebih ke outfit nasabah prioritas,2,fashion sih outfit nasabah prioritas 
2022-12-30 16:41:44+00:00,strwbrycriminal,f fashion nasabah prioritas orang tua dan keluarga gue ngajarin untuk selalu terlihat presentable rapi sopan dan polished mau dibilang overdressed bodo amat gue sangat nyaman berpakaian rapi dan polished,2,f fashion nasabah prioritas orang tua keluarga ajar presentable rapi sopan polished bilang overdressed bodoh nyaman pakai rapi polished 
2022-12-30 16:24:20+00:00,orenjisunrises,akhir tahun banyak banget diskon ya allah fashion makanan minuman paling gak bisa nahan sih makanan sama minuman asli menangis,1,banget diskon ya allah fashion makan minum nahan sih makan minum asli tangis 
2022-12-30 16:14:50+00:00,langgananrg,ih kmu anak fashion ak mo mutualan boleh gak  aku otw tekstil juga taun depan,1,ih anak fashion mutualan jalan tekstil 
2022-12-30 16:02:56+00:00,oklemmetry,im all ok with that tp temen gue ada yg beli hoodie fast fashion tulisan harvard trs ngomong pake ini berat tanggung jawabnya menunjuk hoodie,1,im all ok with that temen beli hoodie fast fashion tulis harvard omong pakai berat tanggung hoodie 
2022-12-30 15:47:34+00:00,mimark_,orang orang mah pake kacamata kelihatan cupu chan elu malah keliatan makin ganteng gw suka elu pake kacamata apalagi yang bentuknya bulet tapi maunya kacamata fashion aja jangan kacamata mines cepet membaik penglihatannya ya kesayangan,1,orang orang mah pakai kacamata cupu chan ganteng suka pakai kacamata bentuk bulet mau kacamata fashion kacamata mines cepat baik lihat ya sayang 
2022-12-30 15:44:54+00:00,Deurafashion,"gamis remaja gamis wanita gamis lebaran gamis pesta gamis kerja amp setelan rok untuk ke kantor yg terbaru amp kekinian cek koleksi gamis deura amp setelan rok deura fashion yuk



deurafashion setelanrok gamisremaja",1,gamis remaja gamis wanita gamis lebaran gamis pesta gamis kerja amp setel rok kantor baru amp kini cek koleksi gamis deura amp setel rok deura fashion yuk deurafashion setelanrok gamisremaja 
2022-12-30 15:38:29+00:00,Rcmndation4u,temukan dan dapatkan basic corduroy outer blus fashion kemeja lengan panjang longgar setengah panjang gaya korea baru hanya rp  di shopee sekarang juga  shopeeid,1,temu dapat basic corduroy outer blus fashion kemeja lengan longgar gaya korea rupiah shopee shopeeid 
2022-12-30 15:38:27+00:00,RatjoenBelanja,"basic corduroy outer blus fashion kemeja lengan panjang longgar setengah panjang gaya korea baru 

rating  
cek promo",1,basic corduroy outer blus fashion kemeja lengan longgar gaya korea rating cek promo 
2022-12-30 15:36:16+00:00,BestRecmnd4U,temukan dan dapatkan grey jack kacamata komputer anti radiasi blueray anti uv tr ringan fashion pria wanita semi bulat frame optik best seller   hanya rp  di shopee sekarang juga  shopeeid,1,temu dapat grey jack kacamata komputer anti radiasi blueray anti uv tr ringan fashion pria wanita semi bulat frame optik best jual rupiah shopee shopeeid 
2022-12-30 15:36:14+00:00,SiPalingRacund,"grey jack kacamata komputer anti radiasi blueray anti uv tr ringan fashion pria wanita semi bulat frame optik best seller   

rating  
cek promo",1,grey jack kacamata komputer anti radiasi blueray anti uv tr ringan fashion pria wanita semi bulat frame optik best jual rating cek promo 
2022-12-30 15:36:02+00:00,BestRecmnd4U,temukan dan dapatkan grey jack kacamata komputer anti radiasi blueray uv tr lembut dan ringan fashion kotak pria dan wanita kacamata optik terbaru  hanya rp  di shopee sekarang juga  shopeeid,1,temu dapat grey jack kacamata komputer anti radiasi blueray uv tr lembut ringan fashion kotak pria wanita kacamata optik baru rupiah shopee shopeeid 
2022-12-30 15:36:01+00:00,SiPalingRacund,"grey jack kacamata komputer anti radiasi blueray uv tr lembut dan ringan fashion kotak pria dan wanita kacamata optik terbaru  

rating  
cek promo",1,grey jack kacamata komputer anti radiasi blueray uv tr lembut ringan fashion kotak pria wanita kacamata optik baru rating cek promo 
2022-12-30 15:32:42+00:00,jayvynly,kenapa perempuan tu suka sangat ikut aku  kau takde fashion sense ke girl kalau nak belajar cakap la,2,perempuan suka kau fashion sense girl nak ajar cakap la 
2022-12-30 15:27:03+00:00,BestRecmnd4U,temukan dan dapatkan smile bra fashion wanita bra tanpa kawat sport bra push up elastis bh pakaian dalam wanita  hanya rp  di shopee sekarang juga  shopeeid,1,temu dapat smile bra fashion wanita bra kawat sport bra push up elastis bh pakai wanita rupiah shopee shopeeid 
2022-12-30 15:27:01+00:00,KranjangOren,"smile bra fashion wanita bra tanpa kawat sport bra push up elastis bh pakaian dalam wanita  

rating  
cek diskon",1,smile bra fashion wanita bra kawat sport bra push up elastis bh pakai wanita rating cek diskon 
2022-12-30 15:19:37+00:00,Rcmndation4u,temukan dan dapatkan blouse korean kalila top baju atasan wanita terbaru bahan katun fashion hijab trendy hanya rp  di shopee sekarang juga  shopeeid,1,temu dapat blouse korean kalila top baju atas wanita baru bahan katun fashion hijab trendy rupiah shopee shopeeid 
2022-12-30 15:19:35+00:00,critaharian,"blouse korean kalila top baju atasan wanita terbaru bahan katun fashion hijab trendy 

rating  
cek diskon",1,blouse korean kalila top baju atas wanita baru bahan katun fashion hijab trendy rating cek diskon 
2022-12-30 15:18:46+00:00,nampursa,rewind indonesia    fashion show musical  cokimuslim nyindir pemerintah,2,rewind indonesia fashion show musical cokimuslim sindir perintah 
2022-12-30 15:16:15+00:00,H03TTEST,itu namanya fashion model pose candid bellahadid aesthetic bluraesthetic,1,nama fashion model pose candid bellahadid aesthetic bluraesthetic 
2022-12-30 15:14:54+00:00,sulistyarakhma,"personal branding memang sebuah seni bagaimana mereka punya banyak waktu memikirkan itu ya kapan waktu yg tepat mengkonsep sebuah identitas fashion untuk esok pagi 
heran in a good way",1,personal branding seni pikir ya konsep identitas fashion esok pagi heran in a good way 
2022-12-30 14:51:00+00:00,BestRecmnd4U,temukan dan dapatkan scrunchie love ikat rambut gaya korea untuk wanita  ikat rambut cepol srunchie love fashion hanya rp  di shopee sekarang juga  shopeeid,1,temu dapat scrunchie love ikat rambut gaya korea wanita ikat rambut cepol srunchie love fashion rupiah shopee shopeeid 
2022-12-30 14:50:58+00:00,ArgianShirna,"scrunchie love ikat rambut gaya korea untuk wanita  ikat rambut cepol srunchie love fashion 

rating  
cek diskon",1,scrunchie love ikat rambut gaya korea wanita ikat rambut cepol srunchie love fashion rating cek diskon 
2022-12-30 14:36:00+00:00,beautynesia_id,label fashion paling populer di tahun  ada kejutan di ranah sepatu,1,label fashion populer kejut ranah sepatu 
2022-12-30 14:28:32+00:00,vanilIefatale,kalo ditanya fashion item bingung karena i dont own any of themcry tapi kalo fashion brand aku suka bottega veneta miumiu mirror palais shushu tong simone rocha viv westwood etc skrg menghayal dulu punya closet full of designer pieces nya nanti kalo udah kaya raya d,1,fashion item bingung i own any of themcry fashion brand suka bottega veneta miumiu mirror palais shushu tong simone rocha viv westwood lain menghayal closet full of designer pieces nya kaya raya d 
2022-12-30 14:27:13+00:00,ArzanYainar,"justlook sejeong sepatu docmart sneakers wanita sneakers shoes fashion korea 

rating  
cek promo",1,justlook sejeong sepatu docmart sneakers wanita sneakers shoes fashion korea rating cek promo 
2022-12-30 14:19:37+00:00,ViralToday20,"funatic tas selempang wanita serut mutira import terbaru dan kekinian fashion korea fa 

rating  
cek promo",1,funatic tas selempang wanita serut mutira import baru kini fashion korea fa rating cek promo 
2022-12-30 14:19:25+00:00,ViralToday20,"tas bucket bag wanita import  tas selempang bucket mini fashion korea  tas pesta wanita terbaru import kekinian  tas mini korean style  tas corduroy wanita t 

rating  
cek promo",1,tas bucket bag wanita import tas selempang bucket mini fashion korea tas pesta wanita baru import kini tas mini korean style tas corduroy wanita t rating cek promo 
2022-12-30 14:03:09+00:00,dkranghae,fashion dk dipake wonwoo plissss mereka harus tukeran wardrobe krn sebeda itu,2,fashion dk pakai wonwoo plissss tukar wardrobe beda 
2022-12-30 13:54:28+00:00,meclaulin,hs dapet kerjaan tambahan dari temennya jadi model peraga pakaian untuk pelanggan vvip  departement store temennya kerja pelanggan vvip pertama yang harus dihadapin hs adalah cucu bungsu keluarga elit jeon ww orang yang terkenal rewel dan perfectionist masalah fashion,1,hs dapet kerja tambah temennya model raga pakai langgan vvip departement store temennya kerja langgan vvip dihadapin hs cucu bungsu keluarga elit jeon ww orang kenal rewel perfectionist fashion 
2022-12-30 13:51:52+00:00,myyoondowoon,"maaf ya chann aku kira kamu emg sengaja akhir ini pake kacamata aku kira emg fashion kamu lg suka pake kacamata tp ternyata kamu harus pake kacamata ya karena penglihatan kamu buruk
love u chan sehatt sehatt ayanggg",2,maaf ya chann emang sengaja pakai kacamata emang fashion suka pakai kacamata pakai kacamata ya lihat buruk love chan sehatt sehatt ayanggg 
2022-12-30 13:42:04+00:00,Jimmyeurus,jawaban yang bisa diterima atas keheranan gua kenapa industri fashion dan makanan bergerak cepat dan marak salah satu faktor sii ya ini,1,terima heran industri fashion makan gerak cepat marak salah faktor sii ya 
2022-12-30 13:38:36+00:00,misterlobilobi,"banyak pabrik punya arab gue kerja di hikmat fashion garment baju muslim yg punya pa hikmat imigran iran dia 
temen dia pa malik ada buka pabrik sparepart di ungaran 
banyak cuy",1,pabrik arab kerja hikmat fashion garment baju muslim pa hikmat imigran iran temen pa malik buka pabrik sparepart ungar cuy 
2022-12-30 13:24:05+00:00,sintanr_,"jeans highwaist acid denim hits selbgram fashion wanita


jahat banget candyndwin sooyoung shout out joshua smcu palace yoona yg entertainment taetae exo sc btob belajar",1,jeans highwaist acid denim hits selbgram fashion wanita jahat banget candyndwin sooyoung shout out joshua smcu palace yoona entertainment taetae exo sc btob ajar 
2022-12-30 13:13:44+00:00,yogi_imbo,cek fashion korea celana kasual pria celana olahraga hitam celana kasual celana lurus loose pants pinggang elastis celana panjang polos pria celana oversize pria dengan harga rp  rp dapatkan di shopee sekarang,1,cek fashion korea celana kasual pria celana olahraga hitam celana kasual celana lurus loose pants pinggang elastis celana polos pria celana oversize pria harga rupiah rupiah dapat shopee 
2022-12-30 13:11:34+00:00,Cliffman230,"cuma menurut gw ada beberapa sih yg masih kurang amp ga ditampilin contoh 

 citayem fashion week
 kamu nanyea 
 latto latto
 mixue mungkin yg ini wajar soalnya ga disponsorin sama pihak mereka sendiri 

but well overall ini udah keren bgt sihh di luar ekspetasi",1,sih amp ditampilin contoh citayem fashion week nanyea latto latto mixue wajar disponsorin but well overall keren banget sihh ekspetasi 
2022-12-30 13:05:04+00:00,BestRecmnd4U,temukan dan dapatkan ms bdo   bando polos model lebar ala korea  korean headband  bando warna netral  bando wanita dewasa fashion perempuan  bando impor  aksesoris rambut kekinian viral hanya rp  di shopee sekarang juga  shopeeid,1,temu dapat ms bdo bando polos model lebar ala korea korean headband bando warna netral bando wanita dewasa fashion perempuan bando impor aksesoris rambut kini viral rupiah shopee shopeeid 
2022-06-14 03:26:55+00:00,ustadtaehyung,fashion style bts as group mau dibawa kemana si wkwkwk koboy mulu like wtf jelek jir jujur aja,2,fashion style bts as group bawa mana si wkwkwk koboy mulu like bangsat jelek jir jujur 
2022-05-29 13:45:32+00:00,im_Tyf,ini setujuu bgt fypku isinya kebanyakan edukasi kpop edit klip artisseleb pengetahuan random make up fashion dann lucuan jarang bgt hal yg jelekgberguna malah bisa dibilang gadaa tpi ttp aja yg disalahin apknya mlu pdhl yg salah orang yg goblok gbisa gunain apk,2,setujuu banget fypku isi banyak edukasi kpop edit klip artisseleb tahu random pakai up fashion dann lucu jarang banget jelekgberguna bilang gadaa ttp disalahin apknya mlu salah orang goblok gbisa gunain apk 
2022-05-26 14:44:09+00:00,cahyanepratama,baju baju sekarang tuh lucu lucu modelnya tapi karena fast fashion tea jadinya bahannya jelek jelek,2,baju baju tuh lucu lucu model fast fashion tea bahan jelek jelek 
2022-05-18 07:27:14+00:00,adrian_mangaha,ini aja baru first date udh ngeluh dia fashionnya jelekudh dinilai belum sikap penting yg lainnya hanya karena fashion nya jelek pada first impression bukan berarti dia seluruhnya jelekanda setuju,2,first tanggal keluh fashionnya jelekudh nilai sikap fashion nya jelek first impression jelekanda tuju 
2022-05-15 02:21:55+00:00,domanggajima,ga semua reply an gw setuju kalo itu worst fashion tp ada jg yg cuma kyak haha ini jelek bgt kek pegawai matahari atau gtw ya ini krk kue lebaran jd kek chill aja not everyone well versed in fashion like u r,2,reply an tuju worst fashion haha jelek banget pegawai matahari tau ya krk kue lebaran chill not everyone well versed in fashion like r 
2022-05-14 12:00:39+00:00,tokidokicircle,jadi inget ada  waktu winner pake gucci harga baju gucci yg mereka pake mahal lagi tapi jelek bgt sumpah itu bajunya buat jd kayak bapak padahal red carpet look mereka biasany ok emang fashion itu ga tergantung harga tapi tergantung gimana kalian memilih outfit yg sesuai,2,winner pakai gucci harga baju gucci pakai mahal jelek banget sumpah baju red carpet look biasany ok emang fashion gantung harga gantung pilih outfit sesuai 
2022-05-14 09:17:46+00:00,ahnip5569,ya sekedar pendapat dan buat fun aja yg di postingan pertama baju yg dibilang tiffany jelek mnrt ane bagus kok buat panggung apakah tiffany ga ngerti fashion,2,ya dar dapat fun postingan baju bilang tiffany jelek bagus panggung tiffany erti fashion 
2022-05-14 06:40:07+00:00,l__00ml,nder aku mau ikutan nangis jadinya aku pernah begini di makeupin tetangga mana pas lagi fashion show sumpah jelek banget makeupku aku gapernah upload fotonya senyeselkesel itu gpp nder next time mesti denger review orang yaa happy graduation,2,nder ikut nangis makeupin tetangga pas fashion show sumpah jelek banget makeupku upload foto senyeselkesel tidak nder next mesti denger tinjau orang yaa senang graduation 
2022-05-14 06:16:17+00:00,rukawadea,sorry to say ini repnya kalo gue liat liat gak jelek jelek amat dah ini pada nganggep jelek karena warnanya terlalu ngejreng kah apa gue yang ga tau fashion tapi ya namanya juga worst costume v grupnya belum liat keseluruhan aje sih gue,2,sorry say repnya lihat lihat jelek jelek nganggep jelek warna jreng kah tau fashion ya nama worst costume v grup lihat sih 
2022-05-12 13:16:28+00:00,Eishitsuu,wibu gak atraktif flat fashion jelek cuma demen make jeans  amp kaos oblong polos mukamuka ngantuk,2,wibu atraktif flat fashion jelek demen pakai jeans amp kaos oblong polos mukamuka kantuk 
2022-05-12 06:47:47+00:00,arci52100,tanpa dimaksudkan untuk membela brandnya cuma ini opini jelek gue aja ya kalian ada yg nangkep gak sih ini brand itu satir terhadap high end fashion mereka tuh gak lagi jual produknya tp ada pesan terkait isu besar gue gak suka produknya tp bagi gue pesannya dapet,2,bela brandnya opini jelek ya nangkep sih brand satir high end fashion tuh jual produk pesan kait isu suka produk pesan dapet 
2022-12-30 10:49:39+00:00,bluebeetnary,"idolku pernah blg fashion tuh masalah preferensi sesuatu hal yang harmless bukan hal yang perlu dijulidin dia blg""kalau kamu blg outfitku aneh dan jelek apakah karena kamu merasa kamu bakal kelihatan jelek kalau pakai outfit yang sama denganku""",2,idolku bilang fashion tuh preferensi harmless dijulidin blgkalau bilang outfitku aneh jelek jelek pakai outfit dengan 
2022-12-25 10:53:40+00:00,nabilazwink,beli baju juga jangan asal beli murah krn biasanya kualitasnya jelek kalau kualitasnya jelek ya akan mempercepat siklus sampah garmen fashion waste makin numpuk susah dikelola tentunya berdamage,2,beli baju beli murah kualitas jelek kualitas jelek ya cepat siklus sampah garmen fashion waste numpuk susah kelola berdamage 
2022-12-20 09:02:01+00:00,Vikana_dee,jadi ingat di akun yg suka bahas make upfashion ada yg nanya klo dia ini pake jilbabterus dia pangen pake tanktop sbg outeralhasil swluruh komentar hujat diatermasuk bilang itu jelek dan maksa bangettuh cewek juga klo ditanya di akun itu juga bakal dihujat sih,2,akun suka bahas pakai upfashion pakai jilbabterus pangen pakai tanktop outeralhasil swluruh komentar hujat diatermasuk bilang jelek maksa bangettuh cewek akun hujat sih 
2022-12-20 08:03:33+00:00,forthesonshine,ngeliat orang berhijab tapi bajunya ngepas di badan tuh rasanya ikut risih apalagi yg kaya gini imho salah satu trend fashion paling jelek,2,orang hijab baju pas badan tuh risih kaya imho salah trend fashion jelek 
2022-12-20 07:36:17+00:00,dijalankan,mau muslim bener apa kaga tapi selera fashion lu tai jelek bgt ngentot,2,muslim bener selera fashion tai jelek banget entot 
2022-12-10 22:50:11+00:00,meancrownazure,teori konspirasi barang fashion mahal itu sengaja dibikin jelek biar orang orang kayak kita ga iri akan barang orang lain meskipun harganya mahal,2,teori konspirasi barang fashion mahal sengaja bikin jelek biar orang orang iri barang orang harga mahal 
